"","newscategory","newstitle"
"1","사회","봉화 광산 매몰 10일째 ""구조 예상 지점 27m 남았다"""
"2","경제","작년보다 춥다는데…정부·지자체 등 실내온도 17도로 제한"
"3","사회","용산경찰서 소속 의경 '0명'…""참사나니 의경 공백 현실화"""
"4","사회","도의원들
"5","사회","중학교 과학실서 수은 누출… 34명 대피"
"6","사회","부산에서도 분향소 명칭 논란…부산시 ""변경 검토 중"""
"7","사회","[단독]尹퇴진 대형 현수막에 김포시 ""불법""…철거 안내"
"8","사회","'이태원 참사' 키운 해밀톤호텔 무단증축 7건…이행강제금만 5억"
"9","사회","경기 화재 봄 29%·인명피해 겨울 28% 최다…난방기기 취급부주의 등 원인"
"10","정치","국방차관, 日정치권 '유감' 표명에도 ""관함식 참가 입장 유지"""
"11","사회","봉화 광산 고립 열흘째...수직 천공·갱도 복구 지속"
"12","정치","""北 유학 대기자 10여명…옥스퍼드대서도 공부중"""
"13","경제","[이슈& 직설] 연말 주택담보대출 금리 연 8% 갈까?...주담대 이자폭탄 '째깍'"
"14","경제","[이슈& 직설] 재건축 호재에도 '20억대 붕괴' 무너진 은마아파트...서울 아파트값 10년 4개월 만에 최대 낙폭"
"15","사회","봉화 광산 매몰 열흘째, 생존소식 '감감'.. 진입로 확보도 더뎌"
"16","사회","김근식 16년전 범행, 검찰 발품으로 확보한 DNA가 '스모킹건'"
"17","국제","홍콩 항셍지수 상승폭 늘려 6% 가까이 폭등"
"18","정치","외교부 ""안보리서 엄중한 대북메시지 발신되도록 협의"""
"19","경제","美 ‘자이언트스텝’에 고통받는 카드사…4분기 실적 먹구름"
"20","국제","G7, 내달부터 러시아산 원유에 ‘상한 캡’ 씌운다"
