"","grade","like","comment"
"1","9","스토리배우","조인성 짱 멋쪄용~"
"2","10","연출스토리","실감나는 실재사건의 이야기!"
"3","8","배우","멋진 배우들.. 볼만한 영화예요"
"4","8","스토리배우","실화라서 보긴 했는데 음~중간에 좀 지루했던 장면도 좀 있었지만 후반부에선 뭔가 뭉클함이..."
"5","8","스토리배우","연기 잘하네요 끝에 살짝 감동"
"6","10","영상미배우","구교환 배우님한테 빠지게 된 계기가 되어 준 영화"
"7","10","스토리","혼자 몰입해서 잘 보고옴"
"8","10","연출배우","배우님들의 연기가 뛰어났고, 연출이 멋졌습니다."
"9","10","영상미배우","재밌습니다 꼭보세요 굿굿"
"10","10","스토리영상미","공감되는 스토리! 가슴 뭉클!!!"
"11","10","연출스토리","한동안 헤어나오지 못했던 영화...."
"12","9","스토리배우","실화를 배경으로 한 스토리인 점이 좋고 담백한 연기가 좋아요"
"13","10","영상미","재미있었어요 !!!!"
"14","10","영상미배우","너무 재밌어서 영화관만 두 번가서 본 작품"
"15","10","연출스토리","배우와 연출 모두 완젹했던 영화 재미있었음"
"16","8","연출스토리","시간가는줄 모르고 본 영화"
"17","10","배우","재미있게 잘 봤습니다."
"18","10","스토리배우","지루할틈없이 너무 재밌게 잘봤습니다."
"19","10","스토리배우","우리 한민족의 터전인 하반도의 분단으로 인한 민족적 슬픔을 잘 드러낸 영화로서 여러 모로 의미 있게 감상할 수 있는 영화임."
"20","10","연출스토리","실화를 기반으로 해서인지 스토리가 탄탄하고 긴장감 넘치는 전개가 좋았어요"
"21","10","배우","매우만족 매우 만
"22","9","연출배우","어찌보면 너무 담담하게 풀어낸 슬프고 씁쓸한 현실. 태준기 캐릭터가 너무 마음이 아리다."
"23","10","스토리배우","남북과 소말리아 내전 많은것을 생각하게함."
"24","8","스토리","다시 봐서 좋았다는"
"25","10","스토리배우","세번도 볼수있을것 같아요"
"26","10","연출배우","영화관에서 보면 더 재미있어요"
"27","10","스토리","극장에서보길 잘했음"
"28","8","연출스토리","역시 위기 앞에선 이념보단 일단 생존과 협력이지"
"29","8","스토리배우","극장에서 볼수있어서 너무 좋았습니다"
"30","10","연출스토리","긴장감과 연출 좋았습니다."
"31","8","스토리OST","긴장감 넘치고 흥미진진했어요"
"32","10","연출스토리","오랜만에 극장에서 다시보니 좋았네요"
"33","9","배우","영화관에서 보면 좋은 영화"
"34","10","스토리배우","실화 바탕이라 더 박진감 넘쳤어요"
"35","10","연출배우","감독으 연출과 배우들이 연기가 최고"
"36","10","연출스토리","재개벙해서 다시 봤네요"
"37","10","배우","넘 잼낫어용 ㅎㅎㅎㅎ"
"38","8","스토리배우","나름좋았지만 연출의 개연성이 부족한 느낌"
"39","7","배우","유승범 감독은 이제 맛이 갔나 봄. 군함도 이후 완전 실망. 좋은 배우들이 이상하게 소비되네. 블랙호크다운의 감동이 워나규진해서인지 헛웃음 나올 정도"
"40","10","스토리배우","영상 연출 연기 다 좋았습니다 감동까지 굿굿"
"41","10","영상미배우","실화 바탕 영화를 적절히 영화화 시켰다."
"42","10","스토리영상미","정말 재미있게 봤음 감동도 있음"
"43","10","연출배우","재밌게 봤네요. ㅋ"
"44","10","연출배우","좋은 주제. 좋은 연출. 좋은 연기"
"45","8","배우","소말리아 수도 모가디슈에서 벌어지는 총싸움"
"46","8","연출스토리","연기 연출력 스토리 라인 다 무난합니다. 실화를 바탕으로 한 작품이라 더 실감나게 보았습니다"
"47","4","스토리","채널돌리다나오면좀보다가돌릴듯"
"48","10","배우","너무 잘봤어요 감사합니다"
"49","10","연출배우","7번을 봤는데도 주기적으로 보고싶어지는 영화. 영화를 좋아하게 만들어준 영화다. 처음부터 끝까지 긴장감을 놓을 수 없고 어느새 나도 모르게 몰입되어 감정을 이입하게 된다."
"50","10","OST","너무 재미있었어요~~~"
"51","10","배우","실화라 그런지 멋있어요"
"52","8","스토리배우","실화가 바탕이라는게 더 신기"
"53","10","스토리배우","코로나 이후로 잠잠했던 한국영화계를 뒤흔든 영화 강추!~"
"54","9","스토리배우","역사를 알고 보면 더 재밌다. 꼬꼬무 보고 갔더니 좋았음"
"55","7","연출스토리","건조해서 더 좋았다"
"56","8","연출스토리","왜 우리나라는 우리국민을 지키지 못하는걸까ㅠ"
"57","10","스토리배우","한국 공관의 어려운 현실이 느껴지는 영화"
"58","10","스토리배우","재미 있게 보았습니다"
"59","10","연출스토리","엄마가 보자해서 기대없이 봤는데 너무 재밌게 봤고 구교환 또 나왔네.. 사랑해요.."
"60","5","연출배우","연기 보는 재미! 안타까운 역사."
"61","9","스토리배우","세상에 진실은 두 개다. 이 진실 저 진실."
"62","9","스토리","재밋게 잘봣슙니다 ~!~!"
"63","10","연출영상미","배우들의 열연과 감독의연출이 훌륭합니다"
"64","10","스토리배우","배우 연기력. 탄탄한스토리. 화려한 액션."
"65","8","스토리배우","배우들의 연기가 영화에 몰입하게 만듦"
"66","10","스토리배우","좋은 영화 였어요."
"67","10","스토리배우","나이스 합니다 좋습니다"
"68","7","연출","손에 땀을 쥐게 하는 탈출신이 인상적"
"69","10","스토리영상미","손에 땀을지게하는 영화 존잼인정 킹잼인정"
"70","10","연출스토리","꼭 극장에서 봐야할 영화"
"71","8","연출배우","예전에 경제적으로도 빈곤하고 국격이 낮을때는 외교관들이 참 고생했겠다 싶었네요. 재미있었어요. 요즘 젊은애들은 안그러지만 저는 왠지 북한이 멀어진 형제같이 느껴져 다른나라같지않거든"
"72","10","영상미","최영환 촬영감독는 전설이다"
"73","10","영상미배우","배우들의 열연..."
"74","8","스토리배우","가족끼리 보기 괜찮은 영화"
"75","10","영상미배우","너무 재밌게 봤습니다."
"76","10","스토리배우","재밌어요. 킬링타임으로 좋아요."
"77","10","스토리OST","뭐 하나 빠지지 않는 최고의 작품."
"78","7","연출스토리","생각보다 흥미롭게 봤어요"
"79","2","스토리배우","나 총쏘는영화 싫어하는구나..ㅇㅇ"
"80","6","영상미배우","전작이 어지간히 트라우마가 됐나 보다, 도전이 아닌 안전하게"
"81","10","연출스토리","기대한 만큼 재밌었어요"
"82","10","스토리배우","잘 봤어요. 재미도 있고 감동도 있었던 ,,, 이걸로 구교환 배우에 입덕했네요,,,"
"83","8","연출스토리","모가디슈, 실화를 바탕으로 해서 더 재미있었어요~"
"84","10","스토리배우","재밌어요. ...조인성 짱"
"85","9","스토리배우","실화를 바탕으로 만들어진 영화이지만 재밌고 연기력이 뛰어났다"
"86","10","연출","약간 뻔한 소재가 있지만 재밌었어요"
"87","10","연출스토리","배우들의손의땀을쥐는 연기력"
"88","10","스토리배우","기대 안했는데 너무 만족스러웠어요"
"89","10","배우","감동과 재미 모두 잡은 영화"
"90","10","배우","실화를 다룬영화라 더 재미있게 봤어요"
"91","10","연출스토리","너무 재밌었어요 조인성 최고"
"92","10","연출스토리","감동적이고 조마조마하고 실화라는 묘미"
"93","10","연출스토리","우리사화가어떤지잘보여준것같아요.재미있게잘봤어요"
"94","10","스토리배우","만족합니다 재밌네요"
