"","comicName","comicSummary","comicGrade"
"1","데드리프트","리프터를 위한 웹툰","9.76"
"2","가영실장","병원 실장의 일상","9.62"
"3","가족입니다.","가족 이야기","9.33"
"4","Baby Boy Brother","연하남 9인 공략기","9.76"
"5","하루땃따","시트콤 같은 일상툰","9.90"
"6","일상중의 일상툰","상중의 이상한 일상","9.53"
"7","아빠는 N살","아빠 4컷 그림일기","9.91"
"8","우리는 그래서 만났잖아_찌맥툰","찌맥툰","9.74"
"9","전직 히키코모리 갱생툰","한 번 잡숴보슈","9.56"
"10","여신님의 계약남은 불로불사!?","여 계 불","9.49"
"11","분노의 난임일기","난임 정복 웹툰!","9.75"
"12","봉산코믹스","비극과희극 단편선","9.78"
"13","부부사기단 늬우스","금요일 연재","9.78"
"14","김작가의 오춘기 그림일기","오춘기를 앓고있어요","9.85"
"15","집에 핀 봄팡이","파란만장 백수라이프","9.15"
"16","낯가리는 관종","낯가리는 관종일기","9.82"
"17","악마법소녀","마법과 내뱉은 말","9.90"
"18","고인물 연애","15년차 커플 일상","9.80"
"19","우리들은 미미미","음식 일상툰","9.87"
"20","오디네리 피플","우리집, 당신집, 누군가의 집. 그저 평범한 가족이야기!","9.59"
"21","선연","다문화 이야기","9.57"
"22","찔레꽃  그너머","임진왜란과 서민의삶","9.80"
"23","똥꼬발랄댕댕이","개알못아줌마이야기","8.99"
"24","산군대잔치","강아지 산군의 일상","9.87"
"25","육식 토끼","소심 토끼 반항기","9.76"
"26","낮잠 자는 사람들","창작인밀착일상툰","9.89"
"27","두양고 찬양","성장 로맨스","9.27"
"28","고양이와 집사","특별한 반려동물","9.74"
"29","용사연구소","용사연구소","9.66"
"30","카페 타이쿤","언니의 카페이야기","9.61"
"31","앨리스 찾기","새로운 잔혹동화","9.81"
"32","나태한 마왕은 신과 싸우기로 결심한다.","신앙과 신념의 싸움","9.85"
"33","신혼식물","원시식물인간","9.84"
"34","그래도 조금 공부되는 만화","황당 수업 진행","9.29"
"35","무선혜드셋 정보툰!!","잡상식을 재미있게","9.87"
"36","외고생은 왜 고생?","외고생의 실화 일상","9.44"
"37","리베르","모험,판타지","9.33"
"38","호수마을에서 기억나?","캠퍼스 성장 로맨스","9.65"
"39","달링은 넷우익","혐한하는 일본인남친","9.72"
"40","너구리네 육아일기","육아일기","9.78"
"41","호호도시농부","초보농부무화과화과자","9.62"
"42","검의계승자","판타지","9.71"
"43","도원향","우주경찰서 도원향","9.88"
"44","고고고","집사가 되어라!!!","9.90"
"45","순임이","엄마의 엄마 이야기","9.88"
"46","과학고 생존일지","과학고에 간 문과생","9.81"
"47","안녕오존","오존의 일상개그툰!","9.88"
"48","죽 쑨 만화","아싸 대학생의 일상","9.78"
"49","데빌사위","처갓집이 히어로일가","9.75"
"50","새벽인력","꿈꾸는 일용직","9.78"
"51","소환진이 좀 이상해 보이는 건 기분 탓이겠지","판타지!","9.92"
"52","H O P E","인류를 위한 임무","9.54"
"53","살인귀","살인귀들","9.09"
"54","우아툰 (우리 아이들 생각)_사랑하니까 시즌5","우리 아이들 생각","9.62"
"55","일상견문록","해외 여행 일상툰","9.89"
"56","집에서 뒹굴뒹굴","집에서 애둘 키우기","9.79"
"57","별을 향해","별 여행 이야기","9.08"
"58","미필은 노하이","대한군필 만세!!","9.87"
"59","가족이되는과정","아기천사가 찾아왔다","9.86"
"60","그릇!","동양현대판타지","9.84"
"61","썸데이","언젠가 이루어 지길","8.46"
"62","연하는 별로","서린과 연하남과 썸","9.72"
"63","긁지 않은 복권","날씬 복권","9.32"
"64","카르엘","인어와 칼과 흉터","7.64"
"65","맹랑맘마","오리지널 일기","9.76"
"66","시놉시스","작업실 로맨스","9.71"
"67","후손들의 이야기","SF","9.84"
"68","파운드캣","식빵을 닮은 고양이","9.89"
"69","실험학교","변형자들의 학교","9.90"
"70","감성 다방","휴머니즘 귀농 카페","9.33"
"71","제목이 7080 만화","7080 이야기","9.90"
"72","산으로 가는 부부","산에서 일하면","9.85"
"73","북한의 아이","복희의 성장 스토리","9.02"
"74","로로의 일본생활 다이어리","일본 생활 다이어리","9.86"
"75","전셋집 꾸미는 만화","셀프 인테리어 만화","9.84"
"76","우당탕 입큰이","입만 살았네","9.79"
