"","title","desc"
"1","늑대사냥","축산물(소·돼지·닭·계란·오리·말)에 대한 등급판정 결과, 고기 및 부산물 정보, 도매시장 정보, 경매 현황, 경락가격정보, 권역별 경락가격정보 등 축산물 등급 판정 및 경매에 관한 전반적인 정보 서비스를 제공"
"2","리멤버","레이더 합성장 한반도, 행정구역 및 지점별 QCD 한반도, 행정구역 정보를 조회하는 서비스"
"3","플라이트","날씨예측, 예보자료 생산을 위해 수치예보시스템에서 생산된 수치예보모델 자료입니다.(전지구, 지역, 국지, 초단기, 파랑, 폭풍해일, 해구별 예측정보, 기후 모델 등)"
"4","런","천리안위성  2A호 기상산출물(L2)의 한반도, 행정구역 범위 데이터를 제공하는 서비스입니다.(구름탐지, 에어로졸 , 안개, 주간구름, 구름분석)"
"5","대무가","초단기실황, 초단기예보, 단기((구)동네)예보, 예보버전 정보를 조회하는 서비스입니다. 초단기실황정보는 예보 구역에 대한 대표 AWS 관측값을, 초단기예보는 예보시점부터 6시간까지의 예보를, 단기예보는 예보기간을 글피까지 확장 및 예보단위를 상세화(3시간→1시간)하여 시공간적으로 세분화한  예보를 제공합니다."
"6","정직한 후보2","축산물(소·돼지·닭·계란·오리·말)에 대한 등급판정 결과, 고기 및 부산물 정보, 도매시장 정보, 경매 현황, 경락가격정보, 권역별 경락가격정보 등 축산물 등급 판정 및 경매에 관한 전반적인 정보 서비스를 제공"
"7","리멤버","레이더 합성장 한반도, 행정구역 및 지점별 QCD 한반도, 행정구역 정보를 조회하는 서비스"
"8","전우치","날씨예측, 예보자료 생산을 위해 수치예보시스템에서 생산된 수치예보모델 자료입니다.(전지구, 지역, 국지, 초단기, 파랑, 폭풍해일, 해구별 예측정보, 기후 모델 등)"
"9","아메리칸 퀼트","천리안위성  2A호 기상산출물(L2)의 한반도, 행정구역 범위 데이터를 제공하는 서비스입니다.(구름탐지, 에어로졸 , 안개, 주간구름, 구름분석)"
"10","외계+인 1부","초단기실황, 초단기예보, 단기((구)동네)예보, 예보버전 정보를 조회하는 서비스입니다. 초단기실황정보는 예보 구역에 대한 대표 AWS 관측값을, 초단기예보는 예보시점부터 6시간까지의 예보를, 단기예보는 예보기간을 글피까지 확장 및 예보단위를 상세화(3시간→1시간)하여 시공간적으로 세분화한  예보를 제공합니다."
